Bat Species Warm 'Sleep' Upends Hibernation Concept (Discovery),http://news.feedzilla.com/en_us/stories/science/425551990?client_source=api&format=json,"Two sub-tropical bats found in caves in Israel challenge key assumptions about
hibernation.

"
Berkeley Builds a Heart Simulator,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/-x5QbdWoqOg/berkeley-builds-a-heart-simulator,"Zothecula writes The increasing number of biological structures being grown on chips in various laboratories around the world is rapidly replicating the entire gamut of major human organs. Now one of the most important of all &ndash; a viable functioning heart &ndash; has been added to that list by researchers at the University of California at Berkeley who have taken adult stem cells and grown a lattice of pulsing human heart tissue on a silicon device.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Berkeley+Builds+a+Heart+Simulator%3A+http%3A%2F%2Fbit.ly%2F1BAZFGo""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F03%2F12%2F2223236%2Fberkeley-builds-a-heart-simulator%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/03/12/2223236/berkeley-builds-a-heart-simulator?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://science.slashdot.org/story/15/03/12/2223236/berkeley-builds-a-heart-simulator?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7092849&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/-x5QbdWoqOg"" height=""1"" width=""1"" alt=""""/>"
Bold Experiments Will Put General Relativity to the Test (Discover Magazine),http://news.feedzilla.com/en_us/stories/science/425508086?client_source=api&format=json,"Powerful telescopes and huge gravitational wave detectors will test a theory
that one man worked out a century ago with a pencil and paper.

"
Book Review: Smart People Don’t Diet (Scientific American),http://news.feedzilla.com/en_us/stories/science/425692682?client_source=api&format=json,"Books and recommendations from Scientific American MIND


-- Read more on ScientificAmerican.com

"
Cholera Vaccine Succeeds in Rural Haiti (bioethicscom),http://news.feedzilla.com/en_us/stories/science/425703235?client_source=api&format=json,"(Medical Xpress) - A vaccination campaign that almost didn't happen was widely
effective in reducing transmission of cholera in the midst of an ongoing
outbreak of the disease in rural Haiti. According to a study led by Harvard
Medical School … Read More

"
Genetics Firm Plans Research Unit to Find Disease Cures (bioethicscom),http://news.feedzilla.com/en_us/stories/science/425703227?client_source=api&format=json,"(BBC) - Personal genetics firm 23andMe is planning to use its database of
health information to research possible cures for a range of diseases. Its new
research group has appointed a head and will begin recruiting scientists next
month. They … Read More

"
Google Error Leaks Website Owners' Personal Information,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/q22GASGE68A/google-error-leaks-website-owners-personal-information,"itwbennett writes: A Google software problem inadvertently exposed the names, addresses, email addresses and phone numbers used to register websites after people had chosen to keep the information private.

The privacy breach involves whois, a database that contains contact information for people who've bought domain names. For privacy reasons, people can elect to make information private, often by paying an extra fee. But Craig Williams, senior technical leader for Cisco's Talos research group, discovered that the privacy settings for domain names registered through the company eNom were being turned off right at the time when the domains were up for renewal, starting around mid-2013. Williams contacted Google, and in about six days the privacy settings had been restored. In a notice, Google blamed a ""software defect."" Cisco said in a blog post that some 282,867 domains were affected.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Google+Error+Leaks+Website+Owners'+Personal+Information%3A+http%3A%2F%2Fbit.ly%2F1AkcOki""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F03%2F13%2F1648227%2Fgoogle-error-leaks-website-owners-personal-information%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/03/13/1648227/google-error-leaks-website-owners-personal-information?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://tech.slashdot.org/story/15/03/13/1648227/google-error-leaks-website-owners-personal-information?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7096603&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/q22GASGE68A"" height=""1"" width=""1"" alt=""""/>"
How hunting lions might actually help save them (Duke),http://news.feedzilla.com/en_us/stories/science/425703710?client_source=api&format=json,"

"
Huge Ocean Confirmed Underneath Solar System's Largest Moon,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/WuLkyZGgROQ/huge-ocean-confirmed-underneath-solar-systems-largest-moon,"sciencehabit writes The solar system's largest moon, Ganymede, in orbit around Jupiter, harbors an underground ocean containing more water than all the oceans on Earth, according to new observations by the Hubble Space Telescope. Ganymede now joins Jupiter's Europa and two moons of Saturn, Titan and Enceladus, as moons with subsurface oceans&mdash;and good places to look for life. Ceres, the largest object in the asteroid belt, may also have a subsurface ocean. The Hubble study suggests that the ocean can be no deeper than 330 kilometers below the surface.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Huge+Ocean+Confirmed+Underneath+Solar+System's+Largest+Moon%3A+http%3A%2F%2Fbit.ly%2F1AjiLOy""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F03%2F13%2F0237244%2Fhuge-ocean-confirmed-underneath-solar-systems-largest-moon%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/03/13/0237244/huge-ocean-confirmed-underneath-solar-systems-largest-moon?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://science.slashdot.org/story/15/03/13/0237244/huge-ocean-confirmed-underneath-solar-systems-largest-moon?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7093311&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/WuLkyZGgROQ"" height=""1"" width=""1"" alt=""""/>"
"Human Genome's Spirals, Loops and Globules Come into 4-D View (Scientific American)",http://news.feedzilla.com/en_us/stories/science/425549019?client_source=api&format=json,"A quest to unravel the architecture of the double helix is revealing the
subtle genetic orchestration of life


-- Read more on ScientificAmerican.com

"
IBM Reported To Be Developing Blockchain-Based Currency Transaction System,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/C0xHT0QcQ_s/ibm-reported-to-be-developing-blockchain-based-currency-transaction-system,"An anonymous reader writes: According to a Reuters source, IBM is working with the U.S. Federal Reserve and other central banks to develop a digital currency transaction system using the same blockchain technology that underpins Bitcoin &mdash; but which will deal with existing national currencies. The anonymous source says: ""These coins will be part of the money supply...It's the same money, just not a dollar bill with a serial number on it, but a token that sits on this blockchain,"" Despite vocal community protest about the potential ""co-opting"" of a geographically-neutral cryptocurrency in favor of a centrally-controlled distributed transaction ledger, the IBM project, if true, is only one among hundreds seeking to leverage the blockchain for new transaction systems.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=IBM+Reported+To+Be+Developing+Blockchain-Based+Currency+Transaction+System%3A+http%3A%2F%2Fbit.ly%2F1MxZa4M""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fyro.slashdot.org%2Fstory%2F15%2F03%2F13%2F1325243%2Fibm-reported-to-be-developing-blockchain-based-currency-transaction-system%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://yro.slashdot.org/story/15/03/13/1325243/ibm-reported-to-be-developing-blockchain-based-currency-transaction-system?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://yro.slashdot.org/story/15/03/13/1325243/ibm-reported-to-be-developing-blockchain-based-currency-transaction-system?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7096089&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/C0xHT0QcQ_s"" height=""1"" width=""1"" alt=""""/>"
"In Historic Turn, CO2 Emissions Flatline In 2014, Even As Global Economy Grows",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/qcaWTLZKoRI/in-historic-turn-co2-emissions-flatline-in-2014-even-as-global-economy-grows,"mdsolar sends this report from Forbes:
A key stumbling block in the effort to combat global warming has been the intimate link between greenhouse gas emissions and economic growth. When times are good and industries are thriving, global energy use traditionally increases and energy-related carbon dioxide emissions also go up. Only when economies stumble and businesses shutter &mdash; as during the most recent financial crisis &mdash; does energy use typically decline, in turn bringing down planet-warming emissions. But for the first time in nearly half a century, that synchrony between economic growth and energy-related emissions seems to have been broken, according to the Paris-based International Energy Agency, prompting its chief economist to wonder if an important new pivot point has been reached &mdash; one that decouples economic vigor and carbon pollution. The IEA pegged carbon dioxide emissions for 2014 at 32.3 billion metric tons &mdash; essentially the same volume as 2013, even as the global economy grew at a rate of about 3 percent. Whether the disconnect is a mere fluke or a true harbinger of a paradigm shift is impossible to know. The IEA suggested that decreasing use of coal in China &mdash; and upticks in renewable electricity generation there using solar, wind and hydropower &mdash; could have contributed to the reversal.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=In+Historic+Turn%2C+CO2+Emissions+Flatline+In+2014%2C+Even+As+Global+Economy+Grows%3A+http%3A%2F%2Fbit.ly%2F19h5v6G""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fnews.slashdot.org%2Fstory%2F15%2F03%2F13%2F1818259%2Fin-historic-turn-co2-emissions-flatline-in-2014-even-as-global-economy-grows%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://news.slashdot.org/story/15/03/13/1818259/in-historic-turn-co2-emissions-flatline-in-2014-even-as-global-economy-grows?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://news.slashdot.org/story/15/03/13/1818259/in-historic-turn-co2-emissions-flatline-in-2014-even-as-global-economy-grows?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7096855&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/qcaWTLZKoRI"" height=""1"" width=""1"" alt=""""/>"
Jupiter's Moon Ganymede Has Salty Ocean with More Water than Earth (Scientific American),http://news.feedzilla.com/en_us/stories/science/425704894?client_source=api&format=json,"The ocean there is thought to extend to 10 times the depth of Earth's oceans


-- Read more on ScientificAmerican.com

"
LAPD Police Claim Helicopters Stop Crimes Before They Happen,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/qDd-E4okPIo/lapd-police-claim-helicopters-stop-crimes-before-they-happen,"HughPickens.com writes True Angelenos don't even bother to look up when one of the LAPD's 17 helicopters rattles their windows searching for a car-jacked Camry or an assault suspect hiding under a jacaranda but few doubt that more bad guys would get away without the nation's largest police helicopter fleet to help chase them. Now the LA Times reports that data shows that LA's helicopters are stopping crimes before they happen. Tapping into the data-driven policing trend, the department uses heat maps, technology and years of statistics to identify crime ""hot spots."" Pilots then use their downtime to fly over them, on the theory that would-be criminals tend to rethink their nefarious plans when there's ""ghetto birds,"" as Ice Cube calls them, hovering overhead [explanatory video with annoying sound]. Months of data show that the number of serious crimes reported in the LAPD's Newton Division in South L.A. fell during weeks when the helicopters conducted more flights. During the week of Sept. 13, when the helicopter unit flew over Newton 65 times, the division recorded 90 crimes. A week later, the number of flights dropped to 40 and the number of reported crimes skyrocketed to 136, with rises seen among almost all types of crime, including burglary, car theft and thefts from vehicles. ""It's extremely cutting edge,"" says Capt. Gary Walters, who heads the LAPD's air support unit. ""It's different. It's nothing that we've ever done before with this specificity."" 

But Professor Geoffrey Alpert. a policing expert who has studied the use of police helicopters in Miami and Baltimore, says the choppers can deter crime in the short-term but criminals will likely return when they're not around (PDF). ""You are deterring the criminals but you aren't getting rid of them and their intent. Those criminals could strike in a different time and place,"" says Alpert. ""I mean that's the whole thing about random patrol. You see a police car and it's the same thing. You hide, he goes around the block and you go back to your breaking and entering.""<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=LAPD+Police+Claim+Helicopters+Stop+Crimes+Before+They+Happen%3A+http%3A%2F%2Fbit.ly%2F1GMfT3T""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fyro.slashdot.org%2Fstory%2F15%2F03%2F12%2F2229254%2Flapd-police-claim-helicopters-stop-crimes-before-they-happen%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://yro.slashdot.org/story/15/03/12/2229254/lapd-police-claim-helicopters-stop-crimes-before-they-happen?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://yro.slashdot.org/story/15/03/12/2229254/lapd-police-claim-helicopters-stop-crimes-before-they-happen?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7092863&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/qDd-E4okPIo"" height=""1"" width=""1"" alt=""""/>"
Machine Automates Assembly Of Small Molecules (pubs.acs),http://news.feedzilla.com/en_us/stories/science/425530942?client_source=api&format=json,"Synthetic Chemistry: Tool could speed upsearch for new medicines, research
probes, and electronic device components

"
Maker Person Rich Olson Returns (Video),http://rss.slashdot.org/~r/Slashdot/slashdot/~3/Gkb46k0A6Es/maker-person-rich-olson-returns-video,"In February we ran a video titled Rich Olson Embodies the Spirit of the Maker Movement. We aren't saying Rich is a superman, but more like everyman or, in this case, everymaker. He is a hobbyist who, like many others, shares his designs freely in the best spirit of open source. Today we have some more words from Rich that may help you if you are just starting to use a 3-D printer and similar tools either at home or in a makerspace. and a note: If you know someone we should interview, please email robinATroblimoDOTCOM.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Maker+Person+Rich+Olson+Returns+(Video)%3A+http%3A%2F%2Fbit.ly%2F1GAyzjM""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fbuild.slashdot.org%2Fstory%2F15%2F03%2F13%2F1652231%2Fmaker-person-rich-olson-returns-video%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://build.slashdot.org/story/15/03/13/1652231/maker-person-rich-olson-returns-video?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://build.slashdot.org/story/15/03/13/1652231/maker-person-rich-olson-returns-video?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7096613&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/Gkb46k0A6Es"" height=""1"" width=""1"" alt=""""/>"
"Malware targets gamers, holds high scores hostage (CBS News)",http://news.feedzilla.com/en_us/stories/science/425714229?client_source=api&format=json,"A newly detected type of ransomware affects more than two dozen popular video
games

"
Man Converts Toyota Prius into Motor Home (alternative-energy-news.info),http://news.feedzilla.com/en_us/stories/science/425623382?client_source=api&format=json,"Hybrid Cars | Transportation

It's Friday, so we figured it's time for a little humour. James Lawler, a
Landscaper from Torquay Australia, has built himself a mini-motorhome atop his
Toyota Prius Hybrid. The project took just over a week to complete using scrap
materials, and ended up costing him just under $150. What inspired this
project? Lawler says ""There's […]

"
